,Player,Year,Status,Points Per Game,Assists Per Game,Rebounds Per Game,Goals Made Per Game
0,Jerry Stackhouse,2000,Professional,29.75,5.125,3.9375,9.675
1,Allen Iverson,2000,Professional,31.08450704225352,4.577464788732394,3.8450704225352115,10.732394366197184
2,Shaquille O'Neal,2000,Professional,28.716216216216218,3.7432432432432434,12.702702702702704,10.986486486486486
3,Paul Pierce,2000,Professional,25.25609756097561,3.0853658536585367,6.365853658536586,8.378048780487806
4,Vince Carter,2000,Professional,27.6,3.88,5.546666666666667,10.16
5,Antawn Jamison,2000,Professional,24.926829268292682,2.0,8.71951219512195,9.75609756097561
6,Chris Webber,2000,Professional,27.114285714285714,4.2,11.1,11.228571428571428
7,Antoine Walker,2000,Professional,23.358024691358025,5.493827160493828,8.876543209876543,8.777777777777779
8,Karl Malone,2000,Professional,23.185185185185187,4.45679012345679,8.25925925925926,8.271604938271604
9,Gary Payton,2000,Professional,23.075949367088608,8.126582278481013,4.569620253164557,9.177215189873417
10,Tim Duncan,2000,Professional,22.195121951219512,2.9878048780487805,12.158536585365853,8.560975609756097
11,Ray Allen,2000,Professional,22.024390243902438,4.560975609756097,5.219512195121951,7.658536585365853
12,Michael Finley,2000,Professional,21.524390243902438,4.390243902439025,5.182926829268292,8.670731707317072
13,Glenn Robinson,2000,Professional,22.026315789473685,3.3157894736842106,6.921052631578948,9.0
14,Shareef Abdur-Rahim,2000,Professional,20.530864197530864,3.0864197530864197,9.074074074074074,7.45679012345679
15,Jason Terry,2000,Professional,19.74390243902439,4.914634146341464,3.2804878048780486,7.2682926829268295
16,Stephon Marbury,2000,Professional,23.850746268656717,7.552238805970149,3.0597014925373136,8.402985074626866
17,Steve Francis,2000,Professional,19.8875,6.4625,6.9125,6.875
18,Cuttino Mobley,2000,Professional,19.468354430379748,2.4683544303797467,5.025316455696203,6.670886075949367
19,Jamal Mashburn,2000,Professional,20.105263157894736,5.407894736842105,7.578947368421052,7.5394736842105265
20,Reggie Miller,2000,Professional,18.85185185185185,3.2098765432098766,3.5185185185185186,6.382716049382716
21,Elton Brand,2000,Professional,20.135135135135137,3.2432432432432434,10.08108108108108,7.8108108108108105
22,Jalen Rose,2000,Professional,20.52777777777778,6.041666666666667,4.986111111111111,7.875
23,Rasheed Wallace,2000,Professional,19.181818181818183,2.7532467532467533,7.818181818181818,7.662337662337662
24,Juwan Howard,2000,Professional,18.049382716049383,2.765432098765432,7.061728395061729,7.197530864197531
25,Allan Houston,2000,Professional,18.705128205128204,2.217948717948718,3.628205128205128,6.948717948717949
26,Antonio McDyess,2000,Professional,20.82857142857143,2.085714285714286,12.071428571428571,8.242857142857142
27,David Wesley,2000,Professional,17.24390243902439,4.402439024390244,2.731707317073171,6.378048780487805
28,Richard Hamilton,2000,Professional,18.08974358974359,2.871794871794872,3.051282051282051,7.012820512820513
29,Sam Cassell,2000,Professional,18.17105263157895,7.631578947368421,3.8157894736842106,7.065789473684211
30,Shawn Marion,2000,Professional,17.329113924050635,2.0253164556962027,10.734177215189874,7.050632911392405
31,Latrell Sprewell,2000,Professional,17.714285714285715,3.4935064935064934,4.5064935064935066,6.805194805194805
32,Cliff Robinson,2000,Professional,16.402439024390244,2.8902439024390243,4.073170731707317,6.109756097560975
33,Lamar Odom,2000,Professional,17.157894736842106,5.157894736842105,7.7894736842105265,6.328947368421052
34,Mike Bibby,2000,Professional,15.865853658536585,8.353658536585366,3.707317073170732,6.402439024390244
35,Jason Kidd,2000,Professional,16.87012987012987,9.779220779220779,6.415584415584416,5.857142857142857
36,Andre Miller,2000,Professional,15.804878048780488,8.012195121951219,4.390243902439025,5.512195121951219
37,Anthony Mason,2000,Professional,16.125,3.1,9.625,5.75
38,Derek Anderson,2000,Professional,15.475609756097562,3.6707317073170733,4.426829268292683,5.036585365853658
39,Nick Van Exel,2000,Professional,17.732394366197184,8.450704225352112,3.3943661971830985,6.47887323943662
40,Terrell Brandon,2000,Professional,16.025641025641026,7.4743589743589745,3.8205128205128207,6.551282051282051
41,Brian Grant,2000,Professional,15.24390243902439,1.2317073170731707,8.75609756097561,5.902439024390244
42,Darrell Armstrong,2000,Professional,15.853333333333333,6.986666666666666,4.573333333333333,5.506666666666667
43,David Robinson,2000,Professional,14.3875,1.45,8.6375,5.0
44,Wally Szczerbiak,2000,Professional,13.963414634146341,3.1707317073170733,5.451219512195122,5.719512195121951
45,Michael Dickerson,2000,Professional,16.314285714285713,3.3285714285714287,3.2714285714285714,6.071428571428571
46,Baron Davis,2000,Professional,13.792682926829269,7.2926829268292686,4.975609756097561,4.987804878048781
47,Steve Smith,2000,Professional,13.641975308641975,2.6296296296296298,3.3580246913580245,4.432098765432099
48,Donyell Marshall,2000,Professional,13.580246913580247,1.6419753086419753,6.987654320987654,5.271604938271605
49,Steve Nash,2000,Professional,15.6,7.271428571428571,3.1857142857142855,5.514285714285714
