,Player,Year,Salaries,Status,Z-Score Salary
0,Jerry Stackhouse,2000,4781000,UNC,-1.0416256048026638
1,Shaquille O'Neal,2000,17142000,LSU,-1.3443380661360647
2,Paul Pierce,2000,1503000,KANSAS,-1.7195219446842112
3,Vince Carter,2000,2267000,UNC,-1.2177803336416502
4,Antawn Jamison,2000,2503000,UNC,-1.5969525865118104
5,Antoine Walker,2000,9000000,KENTUCKY,-0.7877119106742021
6,Karl Malone,2000,14000000,LATECH,-1.0
7,Gary Payton,2000,11020000,OREGONST,0.5121053729568698
8,Ray Allen,2000,9000000,UCONN,-0.8242101450411796
9,Glenn Robinson,2000,7250000,PURDUE,-0.7071067811865476
10,Jason Terry,2000,1468000,ARIZONA,-1.339994033162549
11,Stephon Marbury,2000,9000000,GATECH,-1.1752021748440127
12,Steve Francis,2000,3020000,MARYLAND,-0.857685708940301
13,Jamal Mashburn,2000,5600000,KENTUCKY,-0.7071067811865475
14,Elton Brand,2000,3375000,DUKE,-1.7405074732380668
15,Rasheed Wallace,2000,10800000,UNC,-0.9077811720322144
16,Juwan Howard,2000,15000000,MICHIGAN,0.3182733483242818
17,Antonio McDyess,2000,9900000,ALABAMA,0.7761496369244437
18,David Wesley,2000,2520000,BAYLOR,-1.1278435833947906
19,Richard Hamilton,2000,1836000,UCONN,-1.2597521339370548
20,Sam Cassell,2000,3500000,FLORIDAST,-1.11358508417068
21,Shawn Marion,2000,1546000,UNLV,-1.1605531790702688
22,Cliff Robinson,2000,6125000,USC,-0.27422406427732393
23,Lamar Odom,2000,2445000,RHODEISLE,-1.6008969850028523
24,Mike Bibby,2000,3092000,ARIZONA,-1.4144923570456354
25,Jason Kidd,2000,6858000,CALIFORNIA,-1.1629848453644192
26,Andre Miller,2000,1682000,UTAH,-1.4880199231004732
27,Nick Van Exel,2000,8354000,CINCY,-1.014547992645967
28,Darrell Armstrong,2000,4125000,FAYETVILST,0.98523592149595
29,Wally Szczerbiak,2000,2011000,MIAMIOH,-1.2118481998091921
30,Baron Davis,2000,2712000,UCLA,-0.9729343950612294
31,Steve Smith,2000,7200000,MICHIGANST,-0.8728715609439696
32,Donyell Marshall,2000,5250000,UCONN,-0.15522605884934246
33,Steve Nash,2000,5500000,SANTACLARA,-1.0966708633103965
34,Damon Stoudamire,2000,10125000,ARIZONA,-1.3055824196677337
35,Elden Campbell,2000,7975000,CLEMSON,-1.1547005383792515
36,Raef LaFrentz,2000,2777000,KANSAS,-0.836008481305238
37,Rodney Rogers,2000,2000000,WAKE,-1.0270452783868291
38,Bonzi Wells,2000,1428000,BALLST,-0.7759183490127531
39,Bryon Russell,2000,4000000,LONGBEACH,0.4071719675217453
40,Travis Best,2000,3250000,GATECH,0.39599879444115105
41,Metta World Peace,2000,1079000,STJOHNS,-1.4289381468311262
42,Lorenzen Wright,2000,4400000,MEMPHIS,-1.2402159462046678
43,Lindsey Hunter,2000,2350000,JACKSONST,-0.9733994871992634
44,Anthony Peeler,2000,2495000,MISSOURI,-1.0864708180924865
45,Rick Fox,2000,3033000,UNC,-0.9891708784851693
46,Alan Henderson,2000,5318000,INDIANA,-1.0000614671639618
47,Jason Williams,2000,1879000,FLORIDA,-0.8928000596989107
48,Michael Olowokandi,2000,3456000,PACIFIC,-0.7071067811865475
49,Lucious Harris,2000,1920000,LONGBEACH,-1.4135901182899286
50,James Posey,2000,974000,XAVIER,-1.0775859138996704
51,Othella Harrington,2000,2025000,GEORGETOWN,-1.157382773208989
52,Keon Clark,2000,1289000,UNLV,-0.6950294768963087
53,Pat Garrity,2000,952000,NOTREDAME,-0.7595492972264256
54,Vitaly Potapenko,2000,3810000,WRIGHTST,-0.7071067811865476
55,Walt Williams,2000,3750000,MARYLAND,-0.7071067811865476
56,Dale Davis,2000,4490000,CLEMSON,-1.3691405597471842
57,Terry Porter,2000,2000000,WISCSP,-0.7071067811865475
58,Eric Williams,2000,3336000,PROVIDENCE,-1.160779826425495
59,Kenny Thomas,2000,823000,NMEXICO,-0.7345299221958244
60,Eric Snow,2000,3000000,MICHIGANST,-1.4794785329222297
